"Table 2. The Mean, Standard Deviation and Range For Coping Mechanisms",,,,
,Mean,Std. Deviation,Minimum,Maximum
Self Distraction,4.579,1.039,2,7
Denial,4.727,1.466,2,8
Substance Abuse,5.14,1.655,2,8
Behaviour Disengagement,4.826,1.616,2,8
Venting,5.083,1.536,2,8
Self Blame,5.19,1.738,2,8
Use Of Informational Support,5.14,1.468,2,8
Positive Reframing,5.157,1.506,2,8
Emotional Support,4.909,1.354,2,7
,,,,
Active Coping,5,1.354,2,8
Planning,4.736,1.334,2,8
Acceptance,4.694,1.182,2,7
Humor,4.694,1.637,2,8
Religion,4.512,1.415,2,8
,,,,
